ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile
Alessandro_Volta,Was Volta an Italian physicist?,yes,easy,easy,S09_set4_a10
Alessandro_Volta,Was Volta an Italian physicist?,yes,easy,easy,S09_set4_a10
Alessandro_Volta,Is Volta buried in the city of Pittsburgh?,no,easy,easy,S09_set4_a10
Alessandro_Volta,Is Volta buried in the city of Pittsburgh?,no,easy,easy,S09_set4_a10
Alessandro_Volta,Did Volta have a passion for the study of electricity?,yes,easy,medium,S09_set4_a10
Alessandro_Volta,Did Volta have a passion for the study of electricity?,yes,easy,easy,S09_set4_a10
Alessandro_Volta,What is the battery made by Volta credited to be?,the first cell,medium,medium,S09_set4_a10
Alessandro_Volta,What is the battery made by Volta credited to be?,the first cell,medium,medium,S09_set4_a10
Alessandro_Volta,What important electrical unit was named in honor of Volta?,the volt,medium,medium,S09_set4_a10
Alessandro_Volta,What important electrical unit was named in honor of Volta?,volt,medium,medium,S09_set4_a10
Alessandro_Volta,Where did Volta enter retirement?,Spain,medium,medium,S09_set4_a10
Alessandro_Volta,Where did Volta enter retirement?,Spain,medium,medium,S09_set4_a10
Alessandro_Volta,Is it a disadvantage for something to be unsafe to handle?,yes,hard,too hard,S09_set4_a10
Alessandro_Volta,Is it a disadvantage for something to be unsafe to handle?,yes,hard,easy,S09_set4_a10
Alessandro_Volta,Was Lombardy under Napoleon's rule in 1800?,yes,hard,hard,S09_set4_a10
Alessandro_Volta,Was Lombardy under Napoleon's rule in 1800?,yes,hard,hard,S09_set4_a10
Alessandro_Volta,Was the Italian 10.000 lira banknote created before the euro?,yes,hard,hard,S09_set4_a10
Alessandro_Volta,Was the Italian 10.000 lira banknote created before the euro?,yes,hard,easy,S09_set4_a10
Alessandro_Volta,For how many years did Alessandro Volta live?,53,NULL,medium,S09_set4_a10
Alessandro_Volta,Did Alessandro Volta live to be 80 years old?,no,NULL,easy,S09_set4_a10
Alessandro_Volta,What was Alessandro Volta`s profession?,physisist,NULL,easy,S09_set4_a10
Alessandro_Volta,How old was Alessandro Volta when he died?, 82,NULL,hard,S09_set4_a10
Alessandro_Volta,"How many years ago was it when Volta married the daughter of Count Ludovico Peregrini , Teresa , with whom he raised three sons?",215,NULL,hard,S09_set4_a10
Alessandro_Volta,Is the electrolyte sulphuric acid?,Yes,NULL,easy,S09_set4_a10
Alessandro_Volta,Is volta buried in the city  of Como?,Yes,NULL,easy,S09_set4_a10
Alessandro_Volta,Was his 1800  paper written in French?,Yes,NULL,easy,S09_set4_a10
Alessandro_Volta,"Before 1796, was Lombardy ruled by Austria?",yes,NULL,medium,S09_set4_a10
Alessandro_Volta,Did he receive the Society`s 1794 Copley Medal?,Yes,NULL,easy,S09_set4_a10
Alessandro_Volta,Did he experiment with individual cells?,Yes,NULL,easy,S09_set4_a10
Alessandro_Volta,When did lombardy come under Napoleon`s rule?,From 1796 to 1815,NULL,easy,S09_set4_a10
Alessandro_Volta,Where did he publish his invention of the Voltaic pile battery?,the Philosophical Transactions of the Royal Society,NULL,medium,S09_set4_a10
Alessandro_Volta,Did he become professor of experimental physics at the University of Pavia?,Yes,NULL,easy,S09_set4_a10
Alessandro_Volta,Is it true that his passion been always the study of electricity?,Yes,NULL,easy,S09_set4_a10
Alessandro_Volta,His passion been always the study of what?,Electricity,NULL,easy,S09_set4_a10
Alessandro_Volta,Is it true that Volta married the daughter of Count Ludovico Peregrini?,Yes,NULL,easy,S09_set4_a10
Alessandro_Volta,Is it true that he published his invention of the Voltaic pile battery?,Yes,NULL,easy,S09_set4_a10
Amedeo_Avogadro,Was Amedeo Avogadro Italian?,Yes,easy,easy,S09_set4_a8
Amedeo_Avogadro,Was Amedeo Avogadro Italian?,yes,easy,easy,S09_set4_a8
Amedeo_Avogadro,Did Amedeo Avogadro graduate?,Yes,easy,easy,S09_set4_a8
Amedeo_Avogadro,Did Amedeo Avogadro graduate?,yes,easy,easy,S09_set4_a8
Amedeo_Avogadro,Did Avogadro live in England?,No,easy,easy,S09_set4_a8
Amedeo_Avogadro,Where was Avogadro a professor of physics?,University of Turin,medium,medium,S09_set4_a8
Amedeo_Avogadro,Where was Avogadro a professor of physics?,University of Turin,medium,medium,S09_set4_a8
Amedeo_Avogadro,How many children did Avogadro have?,six,medium,medium,S09_set4_a8
Amedeo_Avogadro,How many children did Avogadro have?,six,medium,medium,S09_set4_a8
Amedeo_Avogadro,What is Avogadro most noted for?,contributions to the theory of molarity and molecular weight,medium,medium,S09_set4_a8
Amedeo_Avogadro,What is Avogadro most noted for?,contributions to the theory of molarity and molecular weight,medium,medium,S09_set4_a8
Amedeo_Avogadro,What is Avogadro's number?,6.02214199x10 23,hard,hard,S09_set4_a8
Amedeo_Avogadro,What is Avogadro's number?,6.02214199x10 23,hard,medium,S09_set4_a8
Amedeo_Avogadro,In what year did Avogadro stop teaching at Turin University?,1853,hard,hard,S09_set4_a8
Amedeo_Avogadro,In what year did Avogadro stop teaching at Turin University?,1823,hard,hard,S09_set4_a8
Amedeo_Avogadro,What subject did Avogadro study first?,ecclesiastical law,hard,hard,S09_set4_a8
Amedeo_Avogadro,What subject did Avogadro study first?,ecclesiastical law,hard,hard,S09_set4_a8
Amedeo_Avogadro,What was Amedeo Avogadro`s birthplace?,Turin,NULL,hard,S09_set4_a8
Amedeo_Avogadro,What was Amedeo Avogadro`s profession?,professor of physics,NULL,hard,S09_set4_a8
Amedeo_Avogadro,How many years ago was it when he became a professor of physics at the University of Turin?,189,NULL,hard,S09_set4_a8
Amedeo_Avogadro,What is Amedeo Avogadro`s first name?,Amedeo,NULL,hard,S09_set4_a8
Amedeo_Avogadro,What is Amedeo Avogadro`s last name?,Avogadro,NULL,too easy,S09_set4_a8
Amedeo_Avogadro,Was Amedeo Avogadro born in North America?,no,NULL,hard,S09_set4_a8
Amedeo_Avogadro,Was King Victor  Emmanuel  III there to pay  homage  to Avogadro?,Yes,NULL,easy,S09_set4_a8
Amedeo_Avogadro,"In fact, was Avogadro `s  famous  1811  paper written in French . )",Yes,NULL,easy,S09_set4_a8
Amedeo_Avogadro,Is avogadro `s  number commonly used to compute  the results  of chemical reactions?,Yes,NULL,easy,S09_set4_a8
Amedeo_Avogadro,"Hence, can relative molecular  masses be calculated from the masses  of gas samples?",Yes,NULL,easy,S09_set4_a8
Amedeo_Avogadro,Did he publish his work?,Yes,NULL,hard,S09_set4_a8
Amedeo_Avogadro,Did Avogadro submit his poem?,Yes.,NULL,medium,S09_set4_a8
Amedeo_Avogadro,Is it true that loschmidt calculated first the value of Avogadro number?,Yes,NULL,easy,S09_set4_a8
Amedeo_Avogadro,Loschmidt calculated first the value of what?,Avogadro's number,NULL,medium,S09_set4_a8
Amedeo_Avogadro,"Hence , can relative molecular masses be calculated from the masses of gas samples ?",yes,NULL,easy,S09_set4_a8
Amedeo_Avogadro,"Can the title of this famous 1811 paper be roughly translated into English as ""essay on determining the Relative Masses of the Elementary Molecules of Bodies"" ?",Yes.,NULL,easy,S09_set4_a8
Amedeo_Avogadro,What is Amedeo Avogadro?,A person.,NULL,hard,S09_set4_a8
Amedeo_Avogadro,Where is Amedeo Avogadro from?,Italy.,NULL,hard,S09_set4_a8
Anders_Celsius,When did Anders Celcius publish his observations on the aurora borealis?,1733,easy,medium,S09_set4_a5
Anders_Celsius,When did Anders Celcius publish his observations on the aurora borealis?,1733 ,easy,medium,S09_set4_a5
Anders_Celsius,What did Anders Celsius determine about the boiling of water?,He determined the dependence of the boiling of water with atmospheric pressure.,easy,medium,S09_set4_a5
Anders_Celsius,What did Anders Celsius determine about the boiling of water?,dependence with atmospheric pressure,easy,hard,S09_set4_a5
Anders_Celsius,Which temperature scale did Celsius propose?,Celcius,easy,medium,S09_set4_a5
Anders_Celsius,Which temperature scale did Celsius propose?, the Celsius temperature scale ,easy,medium,S09_set4_a5
Anders_Celsius,What is the boiling point of water dependent on?,atmospheric pressure,medium,hard,S09_set4_a5
Anders_Celsius,What is the boiling point of water dependent on?,atmospheric pressure,medium,medium,S09_set4_a5
Anders_Celsius,Where was Celsius born?,Uppsala in Sweden,medium,medium,S09_set4_a5
Anders_Celsius,Where was Celsius born?,"Uppsala, Sweden",medium,medium,S09_set4_a5
Anders_Celsius,"Whad did Celsius report in his paper ""Observations of two persistent degrees on a thermometer""?",the freezing point is independent of latitude,medium,medium,S09_set4_a5
Anders_Celsius,How old was Celsius when he died?,42,hard,hard,S09_set4_a5
Anders_Celsius,How old was Celsius when he died?,42,hard,hard,S09_set4_a5
Anders_Celsius,What is temperature would water have to be to be halfway between its standard boiling and freezing point?,50,hard,hard,S09_set4_a5
Anders_Celsius,What is the difference between Celsius' original temperature scale and the one we use today?,The scale was reversed by Carolus Linnaeus. ,hard,hard,S09_set4_a5
Anders_Celsius,What is the difference between Celsius' original temperature scale and the one we use today?,scale was reversed ,hard,hard,S09_set4_a5
Anders_Celsius,What was Anders Celsius`s profession?,professor of astronomy,NULL,medium,S09_set4_a5
Anders_Celsius,How old was Anders Celsius when he died?,42,NULL,medium,S09_set4_a5
Anders_Celsius,What is Anders Celsius`s last name?,Celsius,NULL,easy,S09_set4_a5
Anders_Celsius,Was celsius born in Uppsala  in Sweden?,yes,NULL,easy,S09_set4_a5
Anders_Celsius,Is The Celsius  crater  on the Moon named after him?,yes,NULL,easy,S09_set4_a5
Anders_Celsius,"Was Anders Celsius  ( November 27 ,  1701  April 25 ,  1744  ) a Swedish  astronomer?",yes,NULL,easy,S09_set4_a5
Anders_Celsius,Was Anders Celsius the first  to perform  and  publish  careful experiments  aiming at the definition  of an international  temperature  scale  on scientific grounds?,yes,NULL,easy,S09_set4_a5
Anders_Celsius,Was he professor at Uppsala University?,yes,NULL,easy,S09_set4_a5
Anders_Celsius,Is it true that he published a collection of 316 observations?,yes,NULL,easy,S09_set4_a5
Anders_Celsius,He published a collection of what?,observations,NULL,medium,S09_set4_a5
Arabic_language,"Pronouns in which location are marked for person , number and gender?",NULL,NULL,NULL,S09_set5_a3
Arabic_language,Can syllables begin with a vowel?,no,NULL,easy,S09_set5_a3
Arabic_language,Are calligraphers held in great esteem?,Yes,NULL,easy,S09_set5_a3
Arabic_language,Have many European languages borrowed numerous words from it?,yes,NULL,easy,S09_set5_a3
Arabic_language,Are the most active in Damascus and Cairo?,(bad question),NULL,,S09_set5_a3
Arabic_language,Do arabs consider literary Arabic?,(bad question),NULL,,S09_set5_a3
Arabic_language,Was Arabic vehicle in science?,NULL,NULL,NULL,S09_set5_a3
Arabic_language,Is it true that the sociolinguistic situation of Arabic provides a prime example of the linguistic phenomenon?,NULL,NULL,NULL,S09_set5_a3
Arabic_language,The sociolinguistic situation of Arabic provides a prime example of what?,the linguistic phenomenon of diglossia,NULL,medium,S09_set5_a3
Arabic_language,Is arabic source of vocabulary?,NULL,NULL,NULL,S09_set5_a3
Arabic_language,Is arabic language of the Qur an?,NULL,NULL,NULL,S09_set5_a3
Arabic_language,Is it true that most speak Arabic as their native language?,NULL,NULL,NULL,S09_set5_a3
Arabic_language,"Are pronouns in Literary Arabic marked for person , number and gender ?",yes,NULL,easy,S09_set5_a3
Arabic_language,"However , are non-human plural nouns grammatically considered to be feminine singular ?",yes,NULL,easy,S09_set5_a3
Bee,Is a bee an insect?,yes,easy,easy,S09_set1_a8
Bee,Are bees related to ants?,yes,easy,hard,S09_set1_a8
Bee,Have managed populations of European honey bees experienced substantial declines?,yes,easy,easy,S09_set1_a8
Bee,Where do bees live?,in colonies,medium,medium,S09_set1_a8
Bee,When do bumblebee colonies reach peak population?,mid to late summer,medium,medium,S09_set1_a8
Bee,What do people commonly call cleptoparasitic bees?,cuckoo bees,medium,medium,S09_set1_a8
Bee,How did vespoid wasps evolve?,from predatory ancestors,hard,medium,S09_set1_a8
Bee,What do humans use bees for?,honey,hard,hard,S09_set1_a8
Bee,Why do honey bee queens continue to lay eggs during the foraging season?,to replace daily casualties,hard,hard,S09_set1_a8
Beijing,"Does Beijing mean ""northern capital""?",yes,easy,easy,S09_set3_a7
Beijing,Are the caves of Dragon Bone Hill near the village of Zhoukoudian in Fangshan District?,yes,easy,easy,S09_set3_a7
Beijing,Are hutongs disappearing?,yes,easy,easy,S09_set3_a7
Beijing,When did Beijing host the Olympic Games?,2008,medium,medium,S09_set3_a7
Beijing,When was the An Shi Rebellion launched?,in 755 AD,medium,medium,S09_set3_a7
Beijing,"In 1949, where did Communist forces enter without a fight?",Beiping,medium,medium,S09_set3_a7
Beijing,When did Yuan Shikai die?,1916,hard,too hard,S09_set3_a7
Beijing,Where does air pollution in Beijing come from?,surrounding cities and provinces,hard,medium,S09_set3_a7
Beijing,"As of August 1st, 2006, how many trains stop daily at the Beijing Railway Station or the Beijing West Railway Station?",167,hard,medium,S09_set3_a7
Beijing,What is the name of a university (or similar institution for imparting higher education) in Beijing?,Tsinghua University,NULL,hard,S09_set3_a7
Beijing,Are famous middle  schools  in Beijing :?,Yes,NULL,easy,S09_set3_a7
Blaise_Pascal,Was Blaise Pascal a mathematician of the first order?,yes,easy,easy,S09_set4_a4
Blaise_Pascal,Was Blaise Pascal a mathematician of the first order?,yes,easy,easy,S09_set4_a4
Blaise_Pascal,Could Blaise Pascal move without crutches?,He could move without crutches until a paralytic attack in 1647.,easy,hard,S09_set4_a4
Blaise_Pascal,Could Blaise Pascal move without crutches?,no,easy,hard,S09_set4_a4
Blaise_Pascal,Has the name Pascal been given to the SI unit of pressure?,yes,easy,easy,S09_set4_a4
Blaise_Pascal,Has the name Pascal been given to the SI unit of pressure?,yes,easy,easy,S09_set4_a4
Blaise_Pascal,From what did Pascal suffer throughout his life?,ill health,medium,medium,S09_set4_a4
Blaise_Pascal,From what did Pascal suffer throughout his life?,poor health,medium,medium,S09_set4_a4
Blaise_Pascal,What did Pascal argue was as perfect as possible?,the procedure used in geometry ,medium,medium,S09_set4_a4
Blaise_Pascal,What did Pascal argue was as perfect as possible?,the procedure used in geometry,medium,medium,S09_set4_a4
Blaise_Pascal,What is the best physician?,Time,medium,medium,S09_set4_a4
Blaise_Pascal,Who was the eldest sibling?,Gilberte,hard,hard,S09_set4_a4
Blaise_Pascal,"Aside from the Provincial Letters' religious influence, were they popular as a literary work?",yes,hard,easy,S09_set4_a4
Blaise_Pascal,"Aside from the Provincial Letters' religious influence, were they popular as a literary work?",yes,hard,easy,S09_set4_a4
Blaise_Pascal,Of whose continual poor health was the cause never precisely determined?,Blaise Pascal,hard,hard,S09_set4_a4
Cello,Is the violin cello a bowed string instrument?,Yes,easy,easy,S09_set2_a9
Cello,Is the violin cello a bowed string instrument?,yes,easy,easy,S09_set2_a9
Cello,Is the purfling just for decoration?,No,easy,easy,S09_set2_a9
Cello,Are the z-holes used as access points to the interior of the cello? ,No,easy,easy,S09_set2_a9
Cello,Are the z-holes used as access points to the interior of the cello? ,No,easy,easy,S09_set2_a9
Cello,What does violincello mean?,"Violincello means ""little violene"".",medium,medium,S09_set2_a9
Cello,What are the two materials that bows are made of traditionally? ,"Traditionally, bows are made from pernambuco or brazilwood.",medium,medium,S09_set2_a9
Cello,What is used to tune a cello?,Pegs are used to tune a cello.,medium,medium,S09_set2_a9
Cello,What is used to tune a cello?,the pegs,medium,medium,S09_set2_a9
Cello,Which harmonics can produce any notes above middle C? ,Artificial harmonics can produce any notes above middle C.,hard,hard,S09_set2_a9
Cello,Which harmonics can produce any notes above middle C? ,Artificial harmonics,hard,medium,S09_set2_a9
Cello,"Who referred to the cello as �basso de viola da braccio""?","Monteverdi referred to the cello as ""basso de viola da braccio"".",hard,medium,S09_set2_a9
Cello,"Who referred to the cello as �basso de viola da braccio""?",Monteverdi,hard,medium,S09_set2_a9
Cello,Where is the violincello held?,The violincello is held on the shoulder.,hard,hard,S09_set2_a9
Cello,Where is the violincello held?,on the shoulder,hard,medium,S09_set2_a9
Cello,Is there cello in performances by Rihanna?,yes,easy,easy,S09_set2_a9
Cello,Is there cello in performances by Rihanna?,Yes,easy,easy,S09_set2_a9
Cello,Are cellos constructed with glue?,yes,easy,easy,S09_set2_a9
Cello,Are cellos constructed with glue?,yes,easy,easy,S09_set2_a9
Cello,Is the cello a stringed instrument?,yes,easy,easy,S09_set2_a9
Cello,Is the cello a stringed instrument?,yes,easy,easy,S09_set2_a9
Cello,What is cello an abbreviation of?,violoncello,medium,medium,S09_set2_a9
Cello,What is cello an abbreviation of?,violoncello,medium,medium,S09_set2_a9
Cello,What position is used to play the cello?,a gamba,medium,hard,S09_set2_a9
Cello,What position is used to play the cello?,seated,medium,medium,S09_set2_a9
Cello,What is a person who plays the cello called?,cellist,medium,medium,S09_set2_a9
Cello,What is a person who plays the cello called?,cellist,medium,medium,S09_set2_a9
Cello,Why is there purling on a cello?,to stop cracks from forming ****misspelled****,hard,hard,S09_set2_a9
Cello,When did the first educational works appear for the cello?,the 18th century,hard,hard,S09_set2_a9
Cello,When did the first educational works appear for the cello?,18th century,hard,hard,S09_set2_a9
Cello,What cello manufacturer should I buy from if I want to play outside?,Luis & Clark,hard,hard,S09_set2_a9
Cello,What cello manufacturer should I buy from if I want to play outside?,Luis & Clark,hard,hard,S09_set2_a9
Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb a member of the National Institute?,Yes,easy,easy,S09_set4_a6
Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb a member of the National Institute?,Yes,easy,easy,S09_set4_a6
Charles-Augustin_de_Coulomb,Did Charles-Augustin de Coulomb find any relationship between electric charges and magnetic poles? ,No,easy,hard,S09_set4_a6
Charles-Augustin_de_Coulomb,Did Charles-Augustin de Coulomb find any relationship between electric charges and magnetic poles? ,No,easy,easy,S09_set4_a6
Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb's father's family in Montpellier? ,Yes,easy,easy,S09_set4_a6
Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb's father's family in Montpellier? ,Yes,easy,easy,S09_set4_a6
